This notepad takes measurements from the generator and then the load
Time,Counter,Vc,Ic,Rc,Vm,Im,Rm
182.5308952331543,171,5.28,1.56,3.3846153846153846,5.29,0.304,17.401315789473685
183.63793516159058,172,5.28,1.56,3.3846153846153846,5.28,0.302,17.483443708609272
184.69510746002197,173,5.28,1.56,3.3846153846153846,5.28,0.301,17.54152823920266
185.7652461528778,174,5.28,1.56,3.3846153846153846,5.28,0.3,17.6
186.8383767604828,175,5.28,1.56,3.3846153846153846,5.28,0.298,17.71812080536913
187.88856887817383,176,5.28,1.56,3.3846153846153846,5.29,0.297,17.811447811447813
188.9696764945984,177,5.28,1.56,3.3846153846153846,5.28,0.295,17.898305084745765
190.02585291862488,178,5.28,1.56,3.3846153846153846,5.28,0.288,18.333333333333336
191.08601713180542,179,5.29,1.56,3.391025641025641,5.28,0.283,18.657243816254418
192.14418745040894,180,5.28,1.56,3.3846153846153846,5.29,0.291,18.178694158075604
193.19936609268188,181,5.28,1.56,3.3846153846153846,5.28,0.289,18.26989619377163
194.25953125953674,182,5.28,1.56,3.3846153846153846,5.28,0.288,18.333333333333336
195.30972361564636,183,5.28,1.56,3.3846153846153846,5.28,0.285,18.526315789473685
196.36390328407288,184,5.29,1.56,3.391025641025641,5.29,0.284,18.626760563380284
197.41808581352234,185,5.29,1.56,3.391025641025641,5.29,0.284,18.626760563380284
198.4971992969513,186,5.29,1.56,3.391025641025641,5.3,0.274,19.343065693430656
199.55437231063843,187,5.29,1.56,3.391025641025641,5.3,0.28,18.928571428571427
200.6045641899109,188,5.29,1.56,3.391025641025641,5.3,0.279,18.996415770609318
201.68766736984253,189,5.29,1.56,3.391025641025641,5.3,0.277,19.133574007220215
202.7298812866211,190,5.29,1.56,3.391025641025641,5.3,0.276,19.202898550724637
203.782066822052,191,5.29,1.56,3.391025641025641,5.29,0.275,19.236363636363635
204.83225870132446,192,5.29,1.56,3.391025641025641,5.29,0.274,19.306569343065693
205.87048268318176,193,5.29,1.56,3.391025641025641,5.29,0.268,19.738805970149254
206.9645574092865,194,5.29,1.56,3.391025641025641,5.3,0.261,20.306513409961685
208.00976181030273,195,5.29,1.56,3.391025641025641,5.29,0.27,19.59259259259259
209.0789029598236,196,5.29,1.56,3.391025641025641,5.29,0.268,19.738805970149254
210.12610268592834,197,5.29,1.56,3.391025641025641,5.3,0.266,19.924812030075188
211.16731810569763,198,5.29,1.56,3.391025641025641,5.29,0.266,19.887218045112782
212.25540828704834,199,5.29,1.56,3.391025641025641,5.3,0.264,20.075757575757574
213.34649085998535,200,5.29,1.56,3.391025641025641,5.29,0.263,20.11406844106464
214.4186236858368,201,5.29,1.56,3.391025641025641,5.3,0.261,20.306513409961685
215.46582341194153,202,5.29,1.56,3.391025641025641,5.29,0.261,20.268199233716473
216.5519187450409
